"international_id","helmet_brand","tape_color","pregame_music_genre","locker_room_role","training_pct","uses_tinted_visor","left_skate_first","brings_backup_stick","morning_skate_attended","hydration_pct","pass_drill_success_pct","0x676f6c64656e5f7469707073","video_review_completion_pct","extra_sticks_packed","warmup_laps","bus_seat_number","autographs_signed_week","skate_hollow_inches","avg_shoot_speed","shot_power_score","sleep_hours_before_game","stick_blade_curve_mm","travel_fatigue_score","recovery_balance_minutes","selection_probability"
"1","True","black","electronic","mentor","64.807142","0","1","1","1","81.780000","47.280000","xray","83.770000","0","7","36","9","0.419000","91.740000","62.090000","4.860000","17.060000","-5.410000","-58","0.814629"
"2","CCM","green","electronic","quiet","60.258916","1","0","1","1","56.750000","71.460000","foxtrot","41.190000","2","4","20","7","0.718000","94.180000","65.020000","6.540000","12.300000","-1.560000","-81","0.898043"
"3","True","white","country","joker","29.876669","0","1","1","1","90.680000","78.720000","whiskey","36.820000","4","2","47","2","0.573000","80.460000","48.550000","6.830000","9.910000","-1.570000","-143","0.472083"
"4","True","white","electronic","hype","41.177986","1","1","1","1","83.210000","81.000000","lima","41.950000","4","7","25","5","0.586000","90.870000","61.040000","7.940000","6.720000","-3.190000","-15","0.262367"
"5","True","white","country","quiet","67.248762","0","0","1","1","63.130000","45.840000","tango","50.770000","2","1","9","3","0.907000","81.370000","49.640000","6.390000","8.030000","-0.760000","-45","0.951979"
"6","True","black","pop","quiet","50.494823","0","0","1","0","70.800000","66.280000","victor","18.860000","2","1","43","2","0.725000","94.080000","64.900000","6.540000","4.900000","-1.120000","-153","0.927759"
"7","Sherwood","blue","country","joker","","0","1","0","1","80.330000","67.590000","papa","69.260000","3","6","25","5","0.999000","84.840000","53.810000","5.790000","16.840000","-6.680000","-30","0.943495"
"8","Sherwood","white","rock","quiet","28.662456","0","0","0","0","83.940000","35.690000","zulu","14.170000","0","7","33","5","0.628000","78.150000","45.780000","9.020000","6.570000","-1.810000","-32","0.431149"
"9","CCM","black","rock","quiet","27.326114","0","1","1","1","51.910000","63.450000","juliett","31.220000","5","2","2","9","0.460000","73.080000","39.700000","7.250000","7.130000","-4.770000","-92","0.419445"
"10","Bauer","white","country","joker","50.933166","0","0","1","1","57.620000","61.450000","xray","45.020000","5","5","5","4","0.702000","82.970000","51.560000","9.330000","6.460000","-3.820000","-76","0.343240"
"11","Bauer","red","rock","mentor","59.868641","0","0","0","0","98.950000","57.090000","mike","91.950000","0","6","2","4","0.436000","86.260000","55.510000","6.640000","4.720000","-0.900000","-95","0.899699"
"12","CCM","blue","pop","joker","50.065754","0","1","1","1","57.700000","81.660000","bravo","59.640000","4","1","53","6","0.843000","76.180000","43.420000","8.010000","4.120000","-1.830000","-6","0.548475"
"13","Bauer","white","pop","planner","54.416683","0","0","1","1","54.070000","86.520000","hotel","35.580000","3","6","6","2","0.544000","79.430000","47.320000","6.870000","7.140000","-5.330000","-119","0.871432"
"14","True","black","country","hype","","1","1","1","1","66.400000","55.600000","bravo","33.990000","2","6","40","6","0.651000","79.120000","46.940000","9.590000","9.470000","-5.550000","-37","0.582732"
"15","True","black","pop","joker","55.811565","0","1","1","0","86.430000","60.140000","kilo","61.350000","5","5","32","4","0.465000","70.090000","36.110000","6.110000","13.410000","-0.870000","-126","0.084965"
"16","CCM","blue","electronic","quiet","44.049339","0","0","0","0","50.580000","48.390000","lima","48.040000","5","2","30","7","0.575000","77.010000","44.410000","9.110000","11.910000","-2.060000","-18","0.535264"
"17","True","blue","rock","quiet","46.742535","0","1","1","1","63.860000","84.640000","lima","29.420000","5","5","21","8","0.584000","87.400000","","8.520000","6.700000","-1.470000","-131","0.272094"
"18","Warrior","red","pop","joker","65.523412","0","1","1","0","48.710000","59.170000","alpha","76.780000","0","3","2","8","0.939000","81.190000","49.430000","7.000000","9.550000","-0.450000","-85","0.633472"
"19","CCM","green","pop","mentor","43.877560","0","0","1","1","55.060000","52.330000","india","73.790000","5","5","2","5","0.931000","80.610000","48.730000","7.480000","4.360000","-4.340000","-6","0.982532"
"20","True","black","country","mentor","36.994902","0","1","1","0","98.150000","71.200000","juliett","64.590000","2","1","27","3","0.644000","85.810000","54.970000","8.430000","14.710000","-5.930000","-70","0.150386"
"21","True","white","pop","hype","49.468485","0","1","1","0","73.600000","53.180000","golf","87.790000","3","4","3","2","0.980000","89.840000","59.810000","6.580000","5.150000","-5.470000","-90","0.502226"
"22","True","white","rock","mentor","49.416111","0","1","1","1","97.580000","79.410000","uniform","83.300000","3","2","51","2","0.984000","83.390000","52.070000","6.990000","5.030000","-0.760000","-165","0.260667"
"23","CCM","black","hip hop","quiet","52.227636","0","1","1","1","91.020000","35.900000","golf","36.030000","1","6","24","4","0.619000","78.180000","45.820000","8.570000","10.090000","-0.880000","-112","0.514806"
"24","CCM","white","hip hop","quiet","51.141249","0","1","1","0","99.200000","65.290000","golf","61.380000","0","6","36","4","0.910000","76.790000","44.150000","7.090000","8.040000","-2.440000","-131","0.943851"
"25","CCM","green","country","planner","59.146038","1","0","0","0","60.670000","60.320000","romeo","58.960000","0","1","41","5","0.573000","87.510000","","6.680000","10.610000","-1.000000","-175","0.298488"
"26","Warrior","green","pop","joker","43.409374","1","0","1","1","73.720000","69.820000","foxtrot","35.800000","4","4","31","8","0.603000","77.910000","45.490000","5.400000","16.860000","-3.140000","-21","0.883306"
"27","Sherwood","white","hip hop","hype","38.495185","0","1","1","0","73.490000","61.010000","india","80.620000","5","8","5","3","0.511000","77.400000","44.880000","6.810000","12.930000","-0.430000","-30","0.380987"
"28","Warrior","black","electronic","planner","28.480015","0","1","1","1","73.640000","83.570000","sierra","13.020000","2","8","22","5","0.717000","77.540000","45.050000","7.460000","5.740000","-1.330000","-46","0.469315"
"29","True","blue","metal","quiet","36.160452","0","1","1","0","47.160000","81.990000","lima","5.690000","1","5","9","4","0.608000","77.040000","44.450000","7.500000","12.790000","-1.620000","-118","0.244286"
"30","Bauer","red","electronic","mentor","71.390794","0","1","1","0","78.490000","29.720000","india","72.710000","4","5","10","6","0.636000","77.490000","44.990000","7.100000","10.670000","-3.200000","-126","0.107165"
"31","CCM","white","hip hop","planner","43.069316","0","0","1","1","83.770000","78.820000","juliett","40.020000","3","3","35","6","0.710000","77.610000","45.130000","6.850000","12.970000","-6.170000","-140","0.192460"
"32","Warrior","white","metal","mentor","67.161912","0","0","1","1","94.070000","83.640000","bravo","35.850000","3","8","23","4","0.730000","76.710000","44.050000","8.130000","10.110000","-2.670000","-138","0.041536"
"33","True","black","pop","planner","69.196529","0","1","1","0","88.810000","35.460000","november","69.390000","5","1","10","2","0.969000","89.290000","","7.750000","12.010000","-1.350000","-44","0.839279"
"34","CCM","black","metal","mentor","68.976023","0","1","0","1","65.380000","65.370000","alpha","48.330000","0","8","21","4","0.665000","80.030000","48.040000","6.170000","15.010000","-2.280000","-160","0.291382"
"35","Bauer","black","country","mentor","33.156274","0","1","1","1","60.070000","69.930000","papa","46.520000","5","7","23","5","0.759000","89.720000","59.660000","8.310000","17.620000","-2.630000","-32","0.317978"
"36","True","white","pop","planner","30.756047","1","0","1","0","76.900000","70.550000","charlie","30.910000","0","8","25","8","0.819000","82.070000","50.480000","7.200000","17.220000","-0.820000","-136","0.925891"
"37","Bauer","black","hip hop","hype","40.023100","0","0","1","1","96.630000","77.900000","foxtrot","46.530000","5","4","43","7","0.384000","73.820000","40.580000","8.640000","5.910000","-0.970000","-180","0.572037"
"38","CCM","white","pop","hype","57.102607","0","1","1","1","49.540000","42.010000","november","51.290000","2","2","33","3","0.922000","82.290000","50.750000","9.980000","13.630000","-4.560000","-114","0.138513"
"39","CCM","black","metal","hype","43.519195","0","1","0","0","65.420000","76.910000","charlie","75.880000","2","1","3","5","0.697000","78.860000","46.630000","8.050000","16.770000","-2.080000","-89","0.669857"
"40","Sherwood","red","pop","hype","56.029862","0","1","0","1","78.020000","58.100000","november","66.450000","0","2","2","4","0.794000","75.150000","42.180000","7.900000","7.600000","-2.020000","-30","0.661186"
"41","Bauer","black","pop","mentor","69.606597","0","1","1","0","52.040000","45.160000","sierra","82.340000","2","7","43","4","0.560000","78.280000","45.940000","8.320000","13.880000","-0.550000","-13","0.597703"
"42","Warrior","white","rock","planner","83.381292","0","1","1","0","85.430000","59.010000","kilo","73.940000","3","7","51","3","0.403000","68.840000","34.610000","7.580000","5.300000","-1.000000","-121","0.075230"
"43","CCM","black","country","planner","58.237123","0","0","1","1","86.400000","64.150000","golf","33.210000","2","6","3","3","0.461000","78.790000","46.550000","5.990000","5.560000","-6.490000","-158","0.545450"
"44","CCM","white","rock","quiet","74.809745","0","1","1","1","76.290000","51.760000","xray","45.510000","0","8","21","2","0.962000","66.890000","32.270000","8.330000","6.920000","-3.710000","-168","0.870365"
"45","CCM","black","electronic","mentor","48.154891","0","0","1","1","51.920000","45.750000","juliett","66.340000","5","5","11","2","0.734000","81.830000","50.200000","5.780000","10.010000","-0.480000","-15","0.578590"
"46","CCM","black","rock","quiet","27.999480","1","0","1","0","91.090000","43.680000","india","37.110000","5","6","3","6","0.471000","81.190000","","6.360000","17.180000","-3.080000","-75","0.448039"
"47","True","white","country","planner","","1","1","1","1","48.670000","29.200000","bravo","43.310000","1","6","17","6","0.464000","92.110000","62.530000","7.520000","4.250000","-3.150000","-165","0.836486"
"48","Warrior","white","country","mentor","41.204452","0","0","1","0","99.400000","67.050000","juliett","56.040000","2","2","51","7","0.604000","95.590000","66.710000","9.220000","15.210000","-2.680000","-22","0.813624"
"49","True","black","pop","quiet","43.485244","0","1","0","1","74.370000","46.500000","foxtrot","29.460000","1","6","10","5","0.488000","82.110000","50.530000","8.500000","5.120000","-1.100000","-68","0.573901"
"50","True","green","country","joker","53.215922","0","0","0","1","72.660000","58.440000","juliett","38.380000","0","3","47","4","0.813000","73.740000","40.490000","5.320000","9.200000","-1.110000","-118","0.431094"
"51","CCM","blue","rock","joker","38.114387","0","0","1","0","63.760000","65.990000","mike","15.640000","0","7","49","4","0.977000","94.540000","65.450000","8.320000","15.010000","-3.400000","-87","0.171338"
"52","Bauer","white","metal","planner","60.505323","0","0","0","0","75.110000","68.260000","hotel","36.970000","2","1","28","9","0.859000","75.340000","42.410000","9.420000","17.640000","-5.480000","-66","0.840036"
"53","Bauer","green","electronic","hype","43.703802","0","1","0","1","93.240000","69.570000","foxtrot","18.050000","1","4","48","5","0.849000","64.080000","28.900000","5.270000","6.380000","-1.450000","-119","0.981883"
"54","CCM","blue","rock","joker","46.996660","0","1","0","1","66.480000","53.030000","foxtrot","85.000000","0","2","27","5","0.805000","88.610000","58.330000","6.550000","15.750000","-0.980000","-172","0.451237"
"55","Bauer","white","metal","mentor","74.499334","0","1","1","1","65.440000","42.540000","echo","83.900000","3","7","18","6","0.589000","86.110000","","7.220000","7.250000","-3.610000","-44","0.836003"
"56","Bauer","green","metal","quiet","42.150782","0","0","1","1","93.900000","65.920000","tango","80.860000","3","3","23","7","0.506000","73.250000","39.900000","6.220000","15.610000","-4.710000","-26","0.354001"
"57","Bauer","white","pop","quiet","50.413559","0","1","1","1","60.160000","34.270000","whiskey","52.230000","4","8","11","2","0.695000","70.370000","","7.990000","13.830000","-3.810000","-174","0.052273"
"58","CCM","black","pop","quiet","40.318730","0","0","1","1","65.110000","80.240000","kilo","65.260000","2","5","31","6","0.457000","83.810000","52.570000","7.210000","12.060000","-3.750000","-54","0.615103"
"59","Bauer","black","rock","mentor","29.829922","1","1","0","1","48.680000","73.560000","mike","90.050000","5","7","44","4","0.507000","76.280000","43.540000","6.560000","13.100000","-1.070000","-39","0.195957"
"60","Bauer","black","hip hop","planner","46.512765","1","0","0","1","56.280000","61.690000","sierra","46.360000","3","2","16","6","0.487000","80.140000","","7.060000","14.930000","-1.020000","-24","0.311003"
"61","CCM","black","metal","planner","69.370394","0","1","1","1","56.120000","95.540000","oscar","36.250000","2","3","21","4","0.485000","91.300000","61.560000","7.230000","13.320000","-0.410000","-78","0.084488"
"62","Bauer","black","rock","quiet","32.539539","0","0","1","1","90.130000","72.310000","papa","67.350000","3","4","32","4","0.844000","97.390000","68.870000","7.510000","16.210000","-1.370000","-14","0.343025"
"63","Bauer","white","rock","hype","13.416339","0","1","0","1","98.700000","63.250000","november","15.070000","4","6","53","8","0.972000","82.380000","50.860000","7.480000","15.230000","-4.190000","-20","0.196703"
"64","True","white","rock","planner","70.265485","0","0","0","1","50.230000","47.570000","romeo","26.970000","1","8","13","3","0.419000","78.600000","46.320000","5.510000","17.620000","-1.970000","-138","0.108871"
"65","True","black","pop","quiet","41.813570","0","1","1","1","61.830000","35.440000","mike","16.170000","0","8","8","5","0.739000","81.910000","50.290000","5.330000","14.540000","-0.870000","-76","0.529464"
"66","CCM","white","pop","planner","60.401375","1","1","1","1","52.760000","83.580000","golf","85.450000","2","2","43","4","0.976000","73.130000","39.760000","8.770000","10.570000","-13.220000","-6","0.530113"
"67","CCM","white","electronic","quiet","35.662787","0","1","1","0","84.760000","81.060000","zulu","57.980000","1","4","54","8","0.715000","73.120000","39.740000","8.560000","10.190000","-2.310000","-37","0.225914"
"68","Bauer","green","metal","joker","51.169686","0","0","1","1","69.670000","77.370000","kilo","64.830000","2","3","28","4","0.587000","65.930000","31.120000","6.950000","13.820000","-2.740000","-159","0.779715"
"69","CCM","white","hip hop","quiet","43.711165","1","0","1","1","66.150000","68.540000","india","40.180000","2","6","47","4","0.763000","84.060000","52.870000","5.070000","4.960000","-0.420000","-90","0.365465"
"70","Bauer","red","hip hop","mentor","69.535530","0","1","1","1","89.240000","96.510000","india","51.240000","4","1","39","2","1.000000","89.790000","59.750000","6.890000","17.000000","-3.830000","-102","0.367507"
"71","CCM","red","electronic","mentor","68.913343","0","0","1","0","79.810000","34.210000","golf","39.680000","4","8","2","7","0.725000","78.600000","46.320000","5.900000","8.410000","-3.980000","-97","0.019298"
"72","CCM","white","electronic","quiet","66.941060","0","0","0","1","72.280000","53.170000","romeo","50.160000","4","3","33","6","0.523000","84.360000","","7.720000","11.880000","-3.370000","-86","0.109442"
"73","CCM","black","rock","planner","56.533205","0","1","0","1","51.840000","92.430000","bravo","74.460000","0","4","24","8","0.830000","81.960000","50.350000","6.860000","13.730000","-0.890000","-56","0.584463"
"74","True","red","country","hype","16.197550","0","1","1","1","65.400000","34.200000","xray","46.360000","3","8","19","5","0.651000","91.820000","62.180000","7.790000","17.810000","-8.970000","-149","0.770702"
"75","CCM","black","metal","planner","36.579001","0","1","1","1","46.920000","54.120000","victor","68.400000","4","5","42","9","0.822000","86.620000","","9.560000","6.150000","-1.080000","-105","0.906170"
"76","Bauer","black","electronic","planner","17.709576","0","0","1","1","59.680000","40.960000","sierra","25.930000","5","6","18","2","0.445000","79.160000","46.990000","7.340000","5.110000","-4.180000","-140","0.464103"
"77","Warrior","red","metal","joker","56.974703","0","1","1","1","95.370000","77.100000","xray","38.330000","1","4","29","7","0.464000","83.280000","51.940000","7.950000","8.060000","-2.480000","-176","0.698894"
"78","Bauer","white","metal","joker","80.634358","0","1","1","1","61.560000","48.820000","echo","25.890000","5","8","5","8","0.502000","80.950000","49.140000","8.800000","7.840000","-1.590000","-98","0.826081"
"79","Bauer","black","hip hop","quiet","","1","1","1","1","79.020000","87.900000","kilo","51.370000","1","5","43","3","0.900000","72.070000","38.480000","7.740000","9.530000","-2.500000","-116","0.183993"
"80","CCM","black","metal","planner","61.721796","0","0","1","0","87.650000","50.000000","whiskey","14.310000","0","1","6","8","0.863000","85.530000","54.640000","6.280000","10.500000","-1.770000","-143","0.035105"
"81","True","blue","metal","mentor","34.153832","0","0","1","0","63.630000","72.700000","tango","59.060000","0","7","37","3","0.691000","74.200000","41.040000","6.450000","13.850000","-0.670000","-153","0.591249"
"82","Sherwood","black","pop","quiet","57.570093","0","1","1","1","53.020000","94.270000","whiskey","32.240000","0","3","1","10","0.387000","75.850000","43.020000","8.400000","9.230000","-5.900000","-159","0.053284"
"83","Warrior","white","metal","quiet","65.516548","1","1","0","1","56.220000","82.560000","papa","79.950000","4","8","4","3","0.409000","83.250000","51.900000","6.870000","9.780000","-4.030000","-63","0.276676"
"84","True","white","hip hop","hype","61.678464","0","1","1","1","75.210000","80.220000","victor","52.010000","2","6","8","2","0.529000","70.460000","36.550000","8.160000","10.250000","-2.100000","-36","0.057277"
"85","CCM","blue","rock","joker","43.111962","0","1","0","1","48.270000","72.330000","romeo","23.190000","0","2","43","8","0.551000","84.990000","53.990000","9.300000","5.070000","-7.040000","-93","0.926547"
"86","Bauer","white","rock","mentor","42.147727","0","0","1","1","51.550000","59.780000","echo","28.700000","0","3","11","5","0.530000","85.600000","54.720000","8.060000","17.590000","-5.260000","-19","0.833494"
"87","CCM","green","rock","quiet","76.308259","0","1","1","1","97.930000","82.470000","victor","44.360000","4","8","14","8","0.780000","74.270000","41.120000","8.420000","10.530000","-3.370000","-112","0.032951"
"88","Warrior","red","metal","hype","46.302223","0","1","1","1","75.900000","78.900000","uniform","15.710000","4","1","27","3","0.949000","83.730000","52.480000","4.840000","7.340000","-3.340000","-58","0.485253"
"89","Bauer","black","electronic","mentor","36.957057","0","0","1","1","58.190000","53.170000","quebec","98.430000","1","1","31","3","0.432000","73.290000","39.950000","6.960000","14.280000","-1.400000","-130","0.976650"
"90","CCM","white","electronic","joker","36.296131","0","1","1","1","59.870000","45.230000","sierra","14.460000","4","6","33","4","0.907000","68.300000","33.960000","7.440000","15.760000","-1.720000","-117","0.404446"
"91","Bauer","green","electronic","hype","29.554649","0","0","1","1","99.780000","52.870000","victor","42.860000","0","1","8","8","0.663000","94.740000","65.690000","8.530000","17.810000","-7.720000","-71","0.298221"
"92","CCM","black","country","joker","35.167268","0","0","0","1","73.970000","60.650000","foxtrot","72.750000","2","5","45","2","0.511000","84.690000","53.630000","7.820000","8.960000","-1.450000","-110","0.699617"
"93","CCM","white","electronic","quiet","52.155185","0","0","1","0","51.480000","71.130000","hotel","31.550000","2","2","21","2","0.820000","90.680000","60.820000","6.550000","4.440000","-3.450000","-114","0.871106"
"94","Warrior","white","electronic","joker","","0","0","1","0","56.400000","50.990000","whiskey","59.640000","1","1","52","2","0.490000","80.820000","48.980000","8.790000","5.120000","-2.700000","-175","0.995608"
"95","CCM","black","country","quiet","74.447866","0","0","1","1","86.890000","51.550000","november","30.780000","1","5","3","4","0.742000","73.820000","40.580000","8.110000","4.930000","-1.710000","-126","0.114905"
"96","Bauer","black","hip hop","planner","50.649475","0","0","1","1","81.920000","78.570000","foxtrot","14.080000","0","3","26","2","0.645000","82.370000","50.840000","6.800000","8.130000","-2.370000","-37","0.902665"
"97","CCM","black","pop","planner","59.567385","0","0","0","0","70.820000","75.360000","delta","19.010000","0","7","43","3","0.643000","83.710000","52.450000","7.360000","11.750000","-1.400000","-107","0.443248"
"98","Bauer","white","rock","hype","58.557932","0","0","1","0","62.230000","68.040000","delta","62.500000","3","5","47","6","0.444000","93.510000","64.210000","5.290000","10.300000","-5.330000","-64","0.783120"
"99","Bauer","red","country","planner","85.400045","0","0","1","1","84.790000","58.460000","tango","69.390000","3","2","52","6","0.899000","85.880000","55.060000","8.730000","8.000000","-1.330000","-142","0.898719"
"100","Warrior","white","rock","mentor","45.716974","0","1","1","0","58.020000","63.900000","victor","69.610000","3","3","13","3","0.554000","72.740000","39.290000","8.370000","11.240000","-2.290000","-164","0.507553"
"101","Warrior","black","country","planner","49.557200","0","1","1","1","65.360000","27.690000","romeo","42.230000","2","4","50","5","0.942000","88.590000","58.310000","7.380000","9.900000","-4.050000","-29","0.068482"
"102","CCM","black","country","quiet","53.323023","0","0","1","1","94.290000","41.320000","delta","34.560000","4","6","46","4","0.432000","75.740000","42.890000","8.190000","5.360000","-1.080000","-74","0.080477"
"103","Bauer","white","country","quiet","62.874344","0","0","1","0","60.850000","83.890000","quebec","58.960000","1","4","36","2","0.563000","81.470000","49.760000","8.610000","13.820000","-1.090000","-140","0.127693"
"104","Sherwood","black","metal","hype","19.170648","0","1","1","1","72.450000","82.960000","november","42.650000","4","8","26","9","0.759000","78.930000","46.720000","5.750000","4.570000","-4.720000","-157","0.146628"
"105","True","black","metal","joker","45.367453","0","0","1","1","54.170000","85.960000","india","66.400000","0","2","44","3","0.504000","86.110000","55.330000","7.720000","13.650000","-1.030000","-84","0.389712"
"106","True","black","metal","quiet","30.010344","0","0","1","1","45.650000","49.280000","whiskey","80.310000","5","4","29","5","0.595000","70.830000","37.000000","6.830000","8.350000","-1.420000","-116","0.557380"
"107","Bauer","white","hip hop","quiet","56.826548","0","1","0","1","67.960000","67.450000","charlie","47.760000","1","1","2","4","0.637000","78.250000","45.900000","7.450000","5.010000","-3.390000","-51","0.665890"
"108","Bauer","red","metal","mentor","23.484819","0","1","1","1","53.550000","76.880000","zulu","35.480000","1","3","1","4","0.994000","77.740000","","6.480000","9.530000","-1.060000","-125","0.168625"
"109","CCM","white","hip hop","joker","50.466133","1","1","1","0","88.030000","91.290000","charlie","39.150000","0","8","28","6","0.548000","84.470000","53.360000","7.590000","17.010000","-2.240000","-47","0.651917"
"110","Bauer","black","electronic","hype","56.808099","0","0","1","0","51.210000","34.630000","victor","55.330000","2","5","23","2","0.862000","86.480000","55.780000","9.200000","13.620000","-1.740000","-121","0.919971"
"111","CCM","black","hip hop","planner","74.113255","0","1","0","0","94.440000","55.890000","victor","66.040000","3","1","14","9","0.667000","82.780000","51.340000","8.680000","16.900000","-1.090000","-140","0.485088"
"112","Warrior","black","hip hop","planner","24.082585","0","0","1","1","82.540000","72.840000","xray","39.630000","3","6","8","4","0.884000","78.550000","46.260000","9.470000","12.090000","-3.690000","-119","0.698334"
"113","Sherwood","black","pop","planner","40.156018","0","1","1","1","48.170000","53.190000","delta","61.600000","0","8","53","3","0.482000","83.250000","51.900000","8.910000","12.970000","-2.910000","-145","0.363960"
"114","Warrior","white","pop","mentor","51.660742","0","1","1","1","61.560000","65.640000","uniform","32.870000","2","8","31","2","0.593000","82.250000","50.700000","8.390000","4.080000","-1.950000","-47","0.023543"
"115","Bauer","red","hip hop","joker","49.949155","0","1","0","1","57.100000","39.930000","uniform","42.130000","1","4","6","8","0.618000","83.650000","52.380000","7.810000","6.010000","-0.530000","-76","0.040004"
"116","Bauer","black","pop","planner","56.969985","0","1","0","1","99.770000","84.770000","november","26.970000","4","4","40","5","0.751000","70.830000","37.000000","8.050000","16.250000","-2.100000","-170","0.103789"
"117","Bauer","black","country","quiet","54.173351","0","0","1","1","65.770000","69.070000","uniform","59.390000","0","1","53","5","0.886000","88.410000","58.090000","8.450000","13.350000","-2.310000","-49","0.225594"
"118","Bauer","white","metal","quiet","46.612327","0","1","1","1","50.700000","71.190000","bravo","38.870000","0","5","36","11","0.407000","71.620000","37.940000","8.670000","13.770000","-3.910000","-81","0.567746"
"119","Bauer","white","electronic","planner","65.662699","0","0","1","1","87.880000","94.790000","november","84.640000","2","3","21","8","0.462000","86.960000","","7.000000","9.240000","-0.700000","-88","0.143312"
"120","Bauer","black","hip hop","quiet","49.392919","0","0","0","0","59.420000","38.760000","lima","54.950000","1","1","9","3","0.972000","97.660000","69.190000","7.280000","11.410000","-1.690000","-70","0.246896"
