,num__training_pct,num__goals,num__school_grade,num__number_of_previous_teams,num__avg_shoot_speed,num__pass_completion_rate,num__power_play_goals,num__jersey_number,num__years_played,cat__golden_tipps_alpha,cat__golden_tipps_bravo,cat__golden_tipps_charlie,cat__golden_tipps_delta,cat__golden_tipps_echo,cat__golden_tipps_foxtrot,cat__golden_tipps_golf,cat__golden_tipps_hotel,cat__golden_tipps_india,cat__golden_tipps_juliett,cat__golden_tipps_kilo,cat__golden_tipps_lima,cat__golden_tipps_mike,cat__golden_tipps_november,cat__golden_tipps_oscar,cat__golden_tipps_papa,cat__golden_tipps_quebec,cat__golden_tipps_romeo,cat__golden_tipps_sierra,cat__golden_tipps_tango,cat__golden_tipps_uniform,cat__golden_tipps_victor,cat__golden_tipps_whiskey,cat__golden_tipps_xray,cat__golden_tipps_yankee,cat__golden_tipps_zulu,cat__experience_level_legend,cat__experience_level_missing,cat__experience_level_rookie,cat__experience_level_sophomore,cat__experience_level_veteran,cat__fitness_level_Average,cat__fitness_level_Elite,cat__fitness_level_Excellent,cat__fitness_level_Good,cat__fitness_level_Poor,cat__fitness_level_missing,bool__won_championship,bool__captain
7389,0.9770454941134582,-1.083190097361248,0.8726612961439922,0.7277545647416067,0.24925864483714139,1.2317918647016868,-0.9015297991352489,-1.0120434098630864,-0.8216012524848836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9275,-0.25795371922172533,0.01789259373023647,-0.31829903568560874,0.7277545647416067,-0.529200224422252,1.2944340183845662,-0.3502002736144567,-0.9162089908236225,0.7738700687900743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2995,0.41857821757550656,2.687183966073229,-1.3561358962799754,-0.7692977669459359,1.7011347984096468,-0.25758798126245264,3.0850067700150943,-1.0120434098630864,0.24204629503175495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
5316,-0.7834028446173581,0.9187784318959965,-0.36934019276402025,-0.519789044998012,-1.2644913190461875,1.2307895902427601,0.7524587774271276,-0.2134232512008863,1.3056938425483935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
356,-2.850467832051247,-0.916359386589811,-0.9988477967310952,-1.5178239327897072,-0.4601317850055216,0.3973983776457337,-1.876958959672035,-0.4370368956263023,-1.6193369131223625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
49,0.14067144546368937,-1.5169499453669844,-0.5054499449731177,0.478245842793683,-1.0285074843723607,-0.12428547822528521,-1.452859324656041,1.575485904202442,0.5079581819109146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7931,-0.02205711530922192,-0.2824026856583502,-0.964820358678821,-0.7692977669459359,1.350036898041271,-0.09221269553965096,-0.8167098721320502,1.9588235803602982,-1.3534250262432028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1523,-0.5661413957670003,-0.14893811704120055,-0.6245459781560775,1.2267720086374543,-1.202617508735366,1.645731216238153,-0.3502002736144567,-0.02175441312195825,1.3056938425483935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7552,0.4370765172386201,0.31818787311882313,-0.4714225069208433,-1.5178239327897072,0.9428208906468019,-1.44778890123716,1.1341484489415221,-0.9481537971701105,0.24204629503175495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
496,-1.0875940383088065,0.8186800054331342,0.3112085682814659,-1.2683152108417834,-1.92927504843221,0.7241398512556322,1.4734281569543173,-0.9162089908236225,0.5079581819109146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
5110,-2.3430094690887664,0.21808944665596092,1.5532100571894785,-1.2683152108417834,-0.4457425267937017,1.12504963482606,0.58281892342073,-0.9481537971701105,-1.6193369131223625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1957,0.06430106922369834,-1.5503160875212716,-0.5564911020515292,-1.2683152108417834,-2.460238676448321,-0.7527115639719306,-1.0711696531416466,0.042135199571017766,-1.3534250262432028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
229,0.29281323881004956,1.0188768583588588,-1.6453691197243072,-1.5178239327897072,0.977355110355168,-2.3844143831035716,1.6854779744623143,-0.8842641844771345,-1.6193369131223625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738,1.4738674249429977,-2.1175405041441575,-1.6453691197243072,0.7277545647416067,1.2349228323467216,-0.18141512238407118,-2.089008777180032,0.7449209391937539,0.5079581819109146,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7789,-0.815437759428571,-1.483583803212697,1.7233472474508502,0.7277545647416067,-0.29753316721197093,0.11525811745804543,-1.3680393976528422,-0.2134232512008863,-1.6193369131223625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7567,1.5626853303603863,1.1523414269760084,0.038989063863271514,1.2267720086374543,0.6521578747680646,-0.6013681206740944,0.7100488139255282,-0.6925953463982064,-0.023865591847404694,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4787,0.18089250504302334,-1.416851518904122,-0.6415596971822146,-1.0188064888938597,0.3427888232139617,0.18190936897662896,-0.9015297991352489,1.28798264708405,-0.023865591847404694,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2607,-1.1955648325432169,0.21808944665596092,0.2941948492553291,0.9772632866895306,0.3471056006775075,0.2971709317531268,0.6252288869223294,0.1379696186104818,-0.023865591847404694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3784,-1.2526680079045527,0.718581578970272,-1.2200261440708782,-0.7692977669459359,-0.507616337104523,-0.40041209165941755,1.1341484489415221,2.0546579993997622,-0.023865591847404694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8879,-1.0718952049657702,1.8863965543703314,0.6514829488042093,1.2267720086374543,1.233483906525539,1.3219965660050328,1.0493285219383235,1.543541097855954,-0.8216012524848836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1003,0.26368086539390734,-0.7161625336640864,-0.09712068834582586,-1.2683152108417834,-0.9623168965979936,0.2019548581551499,-0.6894799816272519,-0.8842641844771345,0.7738700687900743,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5676,0.958919818476496,2.4536209709932173,0.617455510751935,0.7277545647416067,-0.13349562359723766,-0.0796842648030751,2.618497171497501,0.872700164579706,0.5079581819109146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
4853,1.3737163248567974,-0.3157688278126376,-0.09712068834582586,1.2267720086374543,0.9557712230374391,-0.44902240291733186,-0.5198401276208543,0.36158326303589783,1.0397819556692338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8946,-0.5699611388556307,-0.14893811704120055,1.468141462058793,0.7277545647416067,-0.8745424215058996,1.5555265149348068,-0.47743016411925493,0.5532521011148259,-0.28977747872656434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9038,1.089264216118821,-1.3834853767498347,0.9747436103008152,-0.7692977669459359,1.3874489693920002,-1.7229132402123661,-1.1559895801448452,-0.8842641844771345,-1.6193369131223625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3042,-1.6494733356670115,-0.8829932444355235,-0.7946831684174492,0.7277545647416067,-0.1248620686701461,1.4688297742377017,-1.3680393976528422,0.96853458361917,0.7738700687900743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8277,0.20495179517535,1.3859044220560202,1.5021689001110672,0.478245842793683,0.6809363911917025,-0.8068343847539386,1.2613783394463203,-0.7884297654376704,0.5079581819109146,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5979,-1.0834780410847153,-0.6160641072012243,-1.1179438299140552,-1.767332654737631,-0.33494523856269826,-0.5001384003225612,-0.18056041960805916,-0.27731286389386234,-1.6193369131223625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2075,2.4706840705894577,-0.6827963915097991,-1.0328752347833692,0.9772632866895306,-0.21551439540460327,-1.2363089904037594,0.07389936140153724,2.0546579993997622,0.5079581819109146,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4482,0.01654651183492877,1.786298127907469,-1.526273086541347,1.2267720086374543,-1.1335490693186359,1.605139100651647,1.3461982664495191,0.29769365034292183,1.8375176163067128,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7382,1.7371740219303602,-0.2156704013497754,0.5323869156212487,-1.0188064888938597,-1.0299464101935414,-0.04660920765851497,0.15871928840473604,-0.08564402581493427,-1.0875131393640431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1563,-0.3378368329770509,-0.9830916708983858,1.417100304980381,-0.2702803230500883,0.2967431969361429,1.22577821794813,-0.39261023711605614,1.000479389965658,1.0397819556692338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8218,-0.9967944694880053,-1.1832885238241102,0.8896750151701298,1.2267720086374543,-0.434231120224247,-0.6534863925382499,-0.7742999086304507,0.010190393224529758,1.0397819556692338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3429,0.23217721034000968,0.38492015742739794,-1.6453691197243072,-1.767332654737631,-0.7608672816325329,-2.131340082224739,0.6252288869223294,-0.37314728293332633,-0.8216012524848836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2118,0.48577088902246207,-0.11557197488691316,-0.04607953126741435,-1.767332654737631,0.9241148549714382,0.6419533456236944,-0.6046600546240531,-0.8203745717841584,-1.6193369131223625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1362,-0.6158706107835594,0.41828629958168534,0.27718113022919155,0.9772632866895306,-1.0788698881137253,-0.5427350648269192,-0.09574049260486035,0.7449209391937539,0.7738700687900743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8316,-0.16783794184727646,-0.6494302493555116,0.6684966678303461,0.478245842793683,-0.2946553155696057,1.5875992976204412,-0.05333052910326095,-1.0759330225560626,-1.6193369131223625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3078,1.9390163135496405,-1.0164578130526731,-0.08010696931968869,0.2287371208457592,-1.294708761291006,0.4099268083823096,-1.0711696531416466,0.26574884399643384,0.24204629503175495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3719,-0.06681833367629528,-0.916359386589811,-1.5943279626458955,0.478245842793683,-0.314800277066152,-1.085967821564849,-1.664909142164038,-0.5009265083192783,-0.8216012524848836,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3411,0.5965118779203916,-0.7828948179726612,1.263976833745147,-1.2683152108417834,0.9413819648256213,-0.36232566222022666,-1.325629434151243,-0.8842641844771345,-1.6193369131223625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
