feature1,feature2,correlation_p,correlation_abs_p,correlation_s,correlation_abs_s,group_col,group_value,group_size,max_corr
goals_against_total,goals_against_average,0.9688744796330828,0.9688744796330828,0.9992387198888889,0.9992387198888889,experience_level,legend,106,0.9992387198888889
goals_against_total,goals_against_average,0.9654280899237953,0.9654280899237953,0.9988435216471085,0.9988435216471085,nationality,France,181,0.9988435216471085
draft_year,age,-0.9892638431019111,0.9892638431019111,-0.9983539329702154,0.9983539329702154,experience_level,legend,106,0.9983539329702154
goals_against_total,goals_against_average,0.9367957079574544,0.9367957079574544,0.9981781674975242,0.9981781674975242,nationality,Ukraine,148,0.9981781674975242
goals_against_total,goals_against_average,0.9500847514803521,0.9500847514803521,0.9979310442194134,0.9979310442194134,nationality,Austria,190,0.9979310442194134
goals_against_total,goals_against_average,0.9556258650153329,0.9556258650153329,0.9978106072127236,0.9978106072127236,nationality,Sweden,782,0.9978106072127236
goals_against_total,goals_against_average,0.9641346431089177,0.9641346431089177,0.997720727265859,0.997720727265859,nationality,Finland,673,0.997720727265859
goals_against_total,goals_against_average,0.9665957579375039,0.9665957579375039,0.9976775800176818,0.9976775800176818,nationality,Norway,265,0.9976775800176818
goals_against_total,goals_against_average,0.9665956505138287,0.9665956505138287,0.9975223044938532,0.9975223044938532,gender,,925,0.9975223044938532
goals_against_total,goals_against_average,0.9552442610231174,0.9552442610231174,0.9974508221741846,0.9974508221741846,gender,male,4154,0.9974508221741846
goals_against_total,goals_against_average,0.9600028013211219,0.9600028013211219,0.9973839912612642,0.9973839912612642,nationality,Latvia,195,0.9973839912612642
goals_against_total,goals_against_average,0.957656214047968,0.957656214047968,0.9973743021455472,0.9973743021455472,fitness_level,Average,1810,0.9973743021455472
goals_against_total,goals_against_average,0.9578242203449998,0.9578242203449998,0.9972640089766703,0.9972640089766703,fitness_level,Elite,1123,0.9972640089766703
goals_against_total,goals_against_average,0.951388721554633,0.951388721554633,0.9971470490620713,0.9971470490620713,nationality,Switzerland,381,0.9971470490620713
goals_against_total,goals_against_average,0.9566405905466109,0.9566405905466109,0.9970885567135592,0.9970885567135592,experience_level,sophomore,2012,0.9970885567135592
goals_against_total,goals_against_average,0.9569066731851759,0.9569066731851759,0.9970821429675712,0.9970821429675712,captain,True,1532,0.9970821429675712
goals_against_total,goals_against_average,0.9546706747033032,0.9546706747033032,0.9970670212351481,0.9970670212351481,dominant_hand,left,7066,0.9970670212351481
goals_against_total,goals_against_average,0.955443277086112,0.955443277086112,0.9970601955972267,0.9970601955972267,won_championship,False,8974,0.9970601955972267
goals_against_total,goals_against_average,0.9585500556972519,0.9585500556972519,0.9970423959141083,0.9970423959141083,fitness_level,Excellent,2189,0.9970423959141083
goals_against_total,goals_against_average,0.9555097394433739,0.9555097394433739,0.9970223809014088,0.9970223809014088,experience_level,veteran,4947,0.9970223809014088
goals_against_total,goals_against_average,0.9549817292961084,0.9549817292961084,0.9969831655935683,0.9969831655935683,captain,False,8468,0.9969831655935683
goals_against_total,goals_against_average,0.9575814418068316,0.9575814418068316,0.9969644526316579,0.9969644526316579,nationality,Canada,2052,0.9969644526316579
goals_against_total,goals_against_average,0.9534022861653679,0.9534022861653679,0.9969024437742482,0.9969024437742482,nationality,Denmark,225,0.9969024437742482
goals_against_total,goals_against_average,0.9613705226833815,0.9613705226833815,0.9968961461108624,0.9968961461108624,nationality,Czechia,564,0.9968961461108624
goals_against_total,goals_against_average,0.9538058605621949,0.9538058605621949,0.9968750891940205,0.9968750891940205,experience_level,rookie,2898,0.9968750891940205
goals_against_total,goals_against_average,0.954825701658504,0.954825701658504,0.9968684741990076,0.9968684741990076,dominant_hand,right,2283,0.9968684741990076
goals_against_total,goals_against_average,0.9524936871371583,0.9524936871371583,0.9968383793422313,0.9968383793422313,fitness_level,Good,3921,0.9968383793422313
goals_against_total,goals_against_average,0.946173646725767,0.946173646725767,0.9967867999341786,0.9967867999341786,nationality,Germany,432,0.9967867999341786
goals_against_total,goals_against_average,0.9640574901423327,0.9640574901423327,0.996785944056561,0.996785944056561,dominant_hand,,651,0.996785944056561
goals_against_total,goals_against_average,0.954069003570756,0.954069003570756,0.9966926420004393,0.9966926420004393,won_championship,True,1026,0.9966926420004393
goals_against_total,goals_against_average,0.9563465911314077,0.9563465911314077,0.9966880125031279,0.9966880125031279,nationality,Slovenia,92,0.9966880125031279
goals_against_total,goals_against_average,0.9516504348319881,0.9516504348319881,0.996683856317153,0.996683856317153,nationality,Russia,654,0.996683856317153
goals_against_total,goals_against_average,0.9544898268213373,0.9544898268213373,0.9966255128383401,0.9966255128383401,gender,female,4089,0.9966255128383401
goals_against_total,goals_against_average,0.9554383053568605,0.9554383053568605,0.9965256014220573,0.9965256014220573,fitness_level,,467,0.9965256014220573
